index,astar_ms,policy_ms,success,expert_len,pred_len
0,0.2127000188920647,75.9412000188604,1,7,7
1,0.12260000221431255,21.678299992345273,1,5,5
2,0.15300000086426735,26.692199986428022,1,6,6
3,0.14829999417997897,22.510599985253066,1,5,5
4,0.1669999910518527,35.42689999449067,1,7,7
5,0.18269999418407679,44.55680001410656,1,9,9
6,0.15520001761615276,43.552599992835894,1,9,9
7,0.09039998985826969,33.325099997455254,1,7,7
8,0.09459999273531139,23.054899997077882,1,5,5
9,0.11069999891333282,27.514099987456575,1,6,6
10,0.1790999958757311,50.52889999933541,1,10,10
11,0.19719998817890882,44.678500009467825,1,8,8
12,0.15389997861348093,40.783200005535036,1,8,8
13,0.31350000062957406,52.13880000519566,1,10,10
14,0.15100001473911107,42.26719998405315,1,8,8
15,0.1838000025600195,54.686599993146956,1,10,10
16,0.3499999875202775,41.35750001296401,1,8,8
17,0.11610001092776656,39.429299999028444,1,8,8
18,0.11450002784840763,33.60969998175278,1,7,7
19,0.11520000407472253,41.69409998576157,1,8,8
20,0.09960000170394778,26.32969999103807,1,5,5
21,0.11520000407472253,29.122999985702336,1,6,6
22,0.11530000483617187,31.294100015657023,1,6,6
23,0.10740000288933516,24.18700000271201,1,5,5
24,0.14829999417997897,29.72379999118857,1,6,6
25,0.10110001312568784,43.491899996297434,1,8,8
26,0.09410001803189516,23.983799997949973,1,5,5
27,0.169299979461357,36.5215000056196,1,7,7
28,0.29570001061074436,89.76039997651242,1,8,17
29,0.11500000255182385,36.66240000165999,1,7,7
30,0.09610000415705144,41.92489999695681,1,8,8
31,0.3806000167969614,94.4417999999132,1,13,17
32,0.24900000425986946,70.95650001429021,1,10,13
33,0.0771000050008297,24.208299990277737,1,5,5
34,0.09279997902922332,30.388800019863993,1,6,6
35,0.34249998861923814,53.46490000374615,1,10,10
36,0.15609999536536634,34.47129999403842,1,7,7
37,0.21570001263171434,42.82460000831634,1,8,8
38,0.3939000016544014,57.06689998623915,1,10,10
39,0.159399991389364,39.07470000558533,1,7,7
40,0.3826000029221177,61.69830000726506,1,9,10
41,0.20249999943189323,23.267700016731396,1,9,12
42,0.05599998985417187,26.5367999963928,1,5,5
43,0.11299998732283711,42.067800008226186,1,8,8
44,0.12049998622387648,22.636799985775724,1,5,5
45,0.15140001778490841,51.95999998250045,1,10,10
46,0.1823000202421099,36.24729998409748,1,7,7
47,0.22310001077130437,61.0883999906946,1,10,11
48,0.15850001364015043,55.3391000139527,1,7,7
49,0.21860000560991466,59.80089999502525,1,8,9
50,0.13880000915378332,23.620099993422627,1,5,5
51,0.15239999629557133,41.602699988288805,1,9,9
52,0.1534000039100647,16.05910001671873,1,8,10
53,0.12280000373721123,33.923599985428154,1,7,7
54,0.14960000407882035,29.68529998906888,1,6,6
55,0.1991999743040651,22.685700008878484,1,8,10
56,0.08209998486563563,24.306300008902326,1,5,5
57,0.1908999984152615,50.865500001236796,1,8,9
58,0.13269999180920422,38.25959999812767,1,7,7
59,0.13920001219958067,30.950399988796562,1,6,6
60,0.14139999984763563,31.95830000913702,1,6,6
61,0.11610001092776656,30.32379999058321,1,6,6
62,0.11980000999756157,37.8494999895338,1,7,7
63,0.1514999894425273,38.55769999790937,1,7,7
64,0.1433999859727919,45.53390000364743,1,8,8
65,0.1905999961309135,30.481699999654666,1,6,6
66,0.11829999857582152,31.813699984923005,1,6,6
67,0.13020000187680125,39.56959999050014,1,7,7
68,0.1771999814081937,53.38480000500567,1,9,9
69,0.15360000543296337,51.51100002694875,1,9,9
70,0.20420001237653196,45.767599978717044,1,7,8
71,0.33969999640248716,45.39380001369864,1,7,8
72,0.12560002505779266,33.23810000438243,1,6,6
73,0.08779999916441739,24.570100009441376,1,5,5
74,0.09929999941959977,24.64669998153113,1,5,5
75,0.2339000056963414,48.945599992293864,1,6,8
76,0.1109000004362315,30.884599982528016,1,6,6
77,0.0906999921426177,24.303199985297397,1,5,5
78,0.26309999520890415,29.917600011685863,1,10,14
79,0.13689999468624592,34.646599990082905,1,7,7
80,0.11069999891333282,32.53280001808889,1,7,7
81,0.17670000670477748,70.26780000887811,1,7,23
82,0.45419999514706433,58.24240000220016,1,11,11
83,0.2539000124670565,74.4513000245206,1,10,14
84,0.20089998724870384,30.73430000222288,1,6,6
85,0.14200000441633165,53.93440002808347,1,8,10
86,0.1078000059351325,27.779600000940263,1,6,6
87,0.1016999885905534,29.338099993765354,1,6,6
88,0.08949998300522566,26.039499993203208,1,5,5
89,0.25340000865980983,44.85969999223016,1,9,9
90,0.13390000094659626,40.977600001497194,1,8,8
91,0.205400021513924,31.244399986462668,1,6,6
92,0.1244999875780195,32.30180000537075,1,6,6
93,0.10519998613744974,25.420999998459592,1,5,5
94,0.1708999916445464,37.14650002075359,1,7,7
95,0.19890000112354755,50.15270001604222,1,10,10
96,0.15499998698942363,41.59740000613965,1,8,8
97,0.1762000028975308,29.603100003441796,1,6,6
98,0.12630000128410757,44.58539999905042,1,8,8
99,0.12280000373721123,26.20640001259744,1,6,6
100,0.34470000537112355,37.260199984302744,1,8,8
101,0.20599999697878957,36.56939999200404,1,7,7
102,0.12080001761205494,47.57889997563325,1,9,9
103,0.1348000077996403,36.171299987472594,1,7,7
104,0.17670000670477748,31.556400004774332,1,6,6
105,0.19890000112354755,36.261700006434694,1,7,7
106,0.09059999138116837,29.66329999617301,1,6,6
107,0.2108000044245273,36.14250000100583,1,8,8
108,0.18279999494552612,23.707499989541247,1,5,5
109,0.13529998250305653,22.966799995629117,1,5,5
110,0.12670000432990491,22.99739999580197,1,5,5
111,0.11970000923611224,35.44839998357929,1,7,7
112,0.07890001870691776,22.123599977931008,1,5,5
113,0.22879999596625566,44.08980000880547,1,9,9
114,0.12599999899975955,34.2127000039909,1,7,7
115,0.07899999036453664,22.14250000542961,1,5,5
116,0.1154000055976212,25.504999997792765,1,6,6
117,0.09950000094249845,35.907500016037375,1,7,7
118,0.10730000212788582,27.278199995635077,1,6,6
119,0.18970001838169992,41.241099999751896,1,8,8
120,0.1897999900393188,38.56810001889244,1,8,8
121,0.19150000298395753,39.97829998843372,1,8,8
122,0.08999998681247234,27.197499992325902,1,5,5
123,0.13800000306218863,23.110700014512986,1,5,5
124,0.07280000136233866,24.28779998444952,1,5,5
125,0.22490002447739244,52.23509998177178,1,10,10
126,0.2694000140763819,63.36410000221804,1,8,12
127,0.1942999952007085,40.97340002772398,1,8,8
128,0.4076999903190881,45.447300013620406,1,9,9
129,0.11929997708648443,39.424900023732334,1,8,8
130,0.1188000023830682,33.75110001070425,1,7,7
131,0.09439999121241271,32.75380001286976,1,7,7
132,0.13940001372247934,50.13499999768101,1,9,9
133,0.17479999223724008,86.44690000801347,1,9,15
134,0.12060001608915627,35.2458999841474,1,7,7
135,0.09879999561235309,27.846300014061853,1,6,6
136,0.23929998860694468,30.983599979663268,1,6,6
137,0.14059999375604093,39.432100020349026,1,8,8
138,0.10150001617148519,23.737499985145405,1,5,5
139,0.2280999906361103,48.303999996278435,1,9,9
140,0.10109998402185738,21.174399997107685,1,5,5
141,0.18689999706111848,35.343099996680394,1,7,7
142,0.11230001109652221,29.691699979593977,1,6,6
143,0.21269998978823423,56.52070001815446,1,10,10
144,0.1564999984111637,47.02040000120178,1,9,9
145,0.1438999897800386,36.820100009208545,1,7,7
146,0.10109998402185738,28.690500010270625,1,6,6
147,0.22270000772550702,94.66719999909401,1,10,17
148,0.13979998766444623,49.79779999121092,1,8,8
149,0.19069999689236283,33.538299991050735,1,6,6
150,0.1362999901175499,43.43799999332987,1,8,8
151,0.24349999148398638,44.0082999994047,1,8,8
152,0.09770001634024084,30.34770002705045,1,6,6
153,0.09079999290406704,22.724100010236725,1,5,5
154,0.14300001203082502,30.40859999600798,1,6,6
155,0.24729999131523073,36.48030001204461,1,7,7
156,0.155699992319569,52.504499995848164,1,10,10
157,0.1112000027205795,21.04479999979958,1,5,5
158,0.09460002183914185,23.225299984915182,1,5,5
159,0.1576000067871064,43.14449999947101,1,8,8
160,0.37250001332722604,40.59260000940412,1,8,8
161,0.1548999862279743,41.16350002004765,1,8,8
162,0.20629999926313758,69.69699999899603,1,9,13
163,0.07680000271648169,22.170399985043332,1,5,5
164,0.09440002031624317,22.19290001085028,1,5,5
165,0.15730000450275838,28.52249998250045,1,6,6
166,0.14859999646432698,27.658999984851107,1,6,6
167,0.19970000721514225,37.52039998653345,1,7,7
168,0.13719999697059393,26.413299987325445,1,6,6
169,0.10430000838823617,26.48840000620112,1,6,6
170,0.11409999569877982,27.327899995725602,1,6,6
171,0.2052999916486442,41.45380001864396,1,8,8
172,0.10090001160278916,21.604399982606992,1,5,5
173,0.09539999882690609,22.738900006515905,1,5,5
174,0.128800020320341,36.474799999268726,1,7,7
175,0.15659999917261302,38.92730001825839,1,8,8
176,0.13880000915378332,47.33589998795651,1,9,9
177,0.2145000034943223,43.85000001639128,1,9,9
178,0.11160000576637685,27.702099992893636,1,6,6
179,0.17189999925903976,34.15799999493174,1,7,7
180,0.17440001829527318,21.08739997493103,1,5,5
181,0.13679999392479658,40.99110001698136,1,8,8
182,0.16490000416524708,47.01919999206439,1,9,9
183,0.11640001321211457,34.156199981225654,1,7,7
184,0.18579998868517578,43.72660000808537,1,8,8
185,0.18469998030923307,45.331800007261336,1,9,9
186,0.11889997404068708,30.79660001094453,1,6,6
187,0.14699998428113759,23.042800021357834,1,5,5
188,0.08460000390186906,23.305100010475144,1,5,5
189,0.14829999417997897,50.474800023948774,1,9,9
190,0.18809997709468007,41.71469999710098,1,8,8
191,0.1024999946821481,23.061899992171675,1,5,5
192,0.12589999823831022,35.30950000276789,1,7,7
193,0.20140002015978098,39.467800001148134,1,8,8
194,0.13840000610798597,39.90890001296066,1,8,8
195,0.14970000484026968,54.177100013475865,1,10,10
196,0.16789999790489674,26.10899999854155,1,6,6
197,0.14869999722577631,53.538600011961535,1,10,10
198,0.11950000771321356,43.45840000314638,1,9,9
199,0.17499999376013875,40.52229999797419,1,8,8
200,0.12840001727454364,41.92329998477362,1,8,8
201,0.09809999028220773,22.838400007458404,1,5,5
202,0.09029998909682035,35.11840000282973,1,7,7
203,0.155699992319569,46.9094000000041,1,9,9
204,0.13679999392479658,28.801699983887374,1,6,6
205,0.10620002285577357,47.19189999741502,1,9,9
206,0.10190001921728253,29.798599978676066,1,5,6
207,0.1162000116892159,32.14000002481043,1,7,7
208,0.14269998064264655,29.835900000762194,1,6,6
209,0.28360000578686595,51.878899976145476,1,10,10
210,0.18320002709515393,58.93940001260489,1,11,11
211,0.24539997684769332,45.288799999980256,1,13,20
212,0.4523000097833574,120.31639998895116,1,15,22
213,0.30640000477433205,51.6899999929592,1,10,10
214,0.09410001803189516,28.801299980841577,1,6,6
215,0.11920000542886555,23.416999989422038,1,5,5
216,0.18430000636726618,33.69579999707639,1,6,7
217,0.1406000228598714,30.653800000436604,1,6,6
218,0.15150001854635775,40.885499998694286,1,9,8
219,0.11449999874457717,36.51859998353757,1,7,7
220,0.1320999872405082,40.742000011960045,1,8,8
221,0.17179999849759042,31.317200016928837,1,7,7
222,0.22100002388469875,47.486099996604025,1,9,9
223,0.12740000966005027,39.391300000716,1,7,8
224,0.11290001566521823,32.26489998633042,1,7,7
225,0.10529998689889908,30.57010000338778,1,6,7
226,0.13130001025274396,35.135399986756966,1,7,7
227,0.21170001127757132,43.11169998254627,1,9,9
228,0.15730000450275838,35.474999982398,1,7,7
229,0.1449999981559813,38.37930000736378,1,8,8
230,0.11130000348202884,27.513800014276057,1,6,6
231,0.1196000084746629,27.317100000800565,1,6,6
232,0.16659998800605536,44.17370000737719,1,9,9
233,0.16289998893626034,25.75780000188388,1,6,6
234,0.13050000416114926,35.91410000808537,1,7,7
235,0.1162000116892159,33.277399983489886,1,6,6
236,0.08030000026337802,23.09070000774227,1,5,5
237,0.1052000152412802,27.334499987773597,1,6,6
238,0.1323999895248562,33.529500011354685,1,6,7
239,0.09929999941959977,23.685300024226308,1,5,5
240,0.08930001058615744,23.61969999037683,1,5,5
241,0.11430002632550895,43.097699992358685,1,8,8
242,0.1618000096641481,29.32709999731742,1,6,6
243,0.11809999705292284,34.512999991420656,1,7,7
244,0.10949998977594078,27.672900003381073,1,6,6
245,0.16239998512901366,46.62639999878593,1,9,9
246,0.08200001320801675,26.79790000547655,1,6,6
247,0.10880001354962587,27.970399998594075,1,6,6
248,0.14990000636316836,35.585699981311336,1,6,7
249,0.14600000577047467,38.88749997713603,1,8,8
250,0.10299999848939478,28.90750000369735,1,6,6
251,0.21510000806301832,42.9502000042703,1,8,8
252,0.12340000830590725,36.84600000269711,1,7,7
253,0.16070000128820539,36.69800001080148,1,7,7
254,0.12160002370364964,37.947499979054555,1,7,7
255,0.14310001279227436,26.03350000572391,1,5,5
256,0.09539999882690609,24.466300004860386,1,5,5
257,0.16080000204965472,31.730599992442876,1,6,6
258,0.291300006210804,38.967000000411645,1,7,7
259,0.10259999544359744,24.423900002148002,1,5,5
260,0.10909998673014343,33.790399989811704,1,7,7
261,0.09449999197386205,29.817700007697567,1,6,6
262,0.27049999334849417,17.270100011955947,1,12,15
263,0.09280000813305378,35.6593000178691,1,7,7
264,0.19389999215491116,34.30389999994077,1,8,8
265,0.1564999984111637,39.292800007387996,1,8,8
266,0.4427000239957124,22.183699999004602,1,16,21
267,0.09469999349676073,44.46269999607466,1,9,9
268,0.11860000086016953,28.490800003055483,1,6,6
269,0.4899999767076224,98.01060002064332,1,12,18
270,0.08599998545832932,30.656699993414804,1,6,6
271,0.07210002513602376,29.239200026495382,1,5,5
272,0.3920000162906945,67.53449997631833,1,9,9
273,0.10999999358318746,31.144299980951473,1,5,5
274,0.10930001735687256,31.373899983009323,1,6,6
275,0.1644000003580004,54.52299999888055,1,10,10
276,0.24090000079013407,48.62359998514876,1,9,9
277,0.12809998588636518,55.42950000381097,1,10,10
278,0.12059998698532581,37.42959999362938,1,7,7
279,0.2120999852195382,49.392999993870035,1,9,9
280,0.15720000374130905,34.91270000813529,1,7,7
281,0.19570000586099923,42.31619997881353,1,8,8
282,0.1404999929945916,39.149199990788475,1,8,8
283,0.2282000205013901,46.23170002014376,1,9,9
284,0.10980002116411924,30.583799991291016,1,6,6
285,0.12389998300932348,28.91779999481514,1,6,6
286,0.16200001118704677,52.45920000015758,1,10,10
287,0.17210000078193843,35.396299994317815,1,7,7
288,0.18470000941306353,40.470900014042854,1,7,7
289,0.1033000007737428,30.04990000044927,1,6,6
290,0.10030000703409314,30.484599992632866,1,6,6
291,0.3132999991066754,21.94109998526983,1,10,13
292,0.12700000661425292,48.89570001978427,1,9,9
293,0.22200000239536166,63.07390000438318,1,10,12
294,0.2108000044245273,56.978899985551834,1,10,10
295,0.148899998748675,40.29999999329448,1,8,8
296,0.10340000153519213,30.629799992311746,1,6,6
297,0.1936000189743936,25.077300000702962,1,11,15
298,0.11299998732283711,53.542800014838576,1,9,10
299,0.11310001718811691,38.57820000848733,1,8,8
